Dates,Price,Year,Month
1/1/2015,133,2015,January
1/2/2015,133,2015,January
1/5/2015,133,2015,January
1/6/2015,131,2015,January
1/7/2015,134,2015,January
1/8/2015,136,2015,January
1/12/2015,135,2015,January
1/13/2015,135,2015,January
1/14/2015,135,2015,January
1/16/2015,134,2015,January
1/21/2015,134,2015,January
1/22/2015,132,2015,January
1/23/2015,132,2015,January
1/27/2015,131,2015,January
1/28/2015,132,2015,January
1/29/2015,134,2015,January
1/30/2015,135,2015,January
2/3/2015,132,2015,February
2/5/2015,132,2015,February
2/10/2015,134,2015,February
2/11/2015,135,2015,February
2/13/2015,134,2015,February
2/16/2015,136,2015,February
2/20/2015,137,2015,February
2/24/2015,135,2015,February
2/25/2015,134,2015,February
2/26/2015,131,2015,February
2/27/2015,129,2015,February
3/2/2015,128,2015,March
3/3/2015,130,2015,March
3/9/2015,129,2015,March
3/10/2015,130,2015,March
3/11/2015,130,2015,March
3/12/2015,129,2015,March
3/13/2015,127,2015,March
3/17/2015,120,2015,March
3/20/2015,126,2015,March
3/23/2015,127,2015,March
3/27/2015,128,2015,March
3/30/2015,127,2015,March
3/31/2015,125,2015,March
4/7/2015,122,2015,April
4/8/2015,125,2015,April
4/9/2015,127,2015,April
4/13/2015,127,2015,April
4/15/2015,126,2015,April
4/16/2015,127,2015,April
4/17/2015,127,2015,April
4/20/2015,127,2015,April
4/21/2015,127,2015,April
4/22/2015,128,2015,April
4/24/2015,130,2015,April
4/27/2015,130,2015,April
4/28/2015,130,2015,April
4/30/2015,126,2015,April
5/2/2015,128,2015,May
5/5/2015,128,2015,May
5/6/2015,126,2015,May
5/7/2015,127,2015,May
5/8/2015,125,2015,May
5/11/2015,124,2015,May
5/12/2015,126,2015,May
5/14/2015,125,2015,May
5/15/2015,124,2015,May
5/18/2015,125,2015,May
5/19/2015,125,2015,May
5/20/2015,126,2015,May
5/21/2015,125,2015,May
5/22/2015,122,2015,May
5/25/2015,121,2015,May
5/28/2015,116,2015,May
5/29/2015,117,2015,May
6/1/2015,117,2015,June
6/2/2015,119,2015,June
6/3/2015,123,2015,June
6/5/2015,125,2015,June
6/8/2015,125,2015,June
6/9/2015,125,2015,June
6/11/2015,125,2015,June
6/12/2015,126,2015,June
6/15/2015,124,2015,June
6/16/2015,125,2015,June
6/17/2015,126,2015,June
6/18/2015,127,2015,June
6/19/2015,126,2015,June
6/22/2015,128,2015,June
6/23/2015,127,2015,June
6/24/2015,129,2015,June
6/25/2015,126,2015,June
6/26/2015,130,2015,June
6/30/2015,131,2015,June
7/1/2015,129,2015,July
7/2/2015,128,2015,July
